source,sourceOrderId,soldAt,customerName,productName,sku,quantity,itemStatus,unitPrice
ONLINE,ORD-00001,11/13/2025,Chloe,Collar Luna,COL-LUN3,3,PAID,100
ONLINE,ORD-00001,11/13/2025,Chloe,Tiara Pearl,TIA-PRL1,2,PAID,230
ONLINE,ORD-00001,11/13/2025,Chloe,Guantes Satin,GLV-SAT3,1,PAID,95
ONLINE,ORD-00002,02/16/2026,Emma,Tiara Pearl,TIA-PRL7,2,PAID,230
ONLINE,ORD-00002,02/16/2026,Emma,Velo Classic,VEL-CLA3,2,PAID,390
ONLINE,ORD-00002,02/16/2026,Emma,Anillo Halo,RNG-HAL6,2,PAID,30
ONLINE,ORD-00002,02/16/2026,Emma,Vestido Camila,DRSS-CAM5,1,PAID,1850
ONLINE,ORD-00003,03/05/2025,Paola,Aretes Crystal,EAR-CRY2,1,PAID,65
ONLINE,ORD-00003,03/05/2025,Paola,Vestido Isabella,DRSS-ISA9,1,PAID,1700
ONLINE,ORD-00003,03/05/2025,Paola,Vestido Bella,DRSS-BEL5,1,PAID,1450
ONLINE,ORD-00003,03/05/2025,Paola,Anillo Halo,RNG-HAL2,3,PAID,50
ONLINE,ORD-00004,07/19/2025,Camila,Collar Luna,COL-LUN5,2,PAID,80
ONLINE,ORD-00004,07/19/2025,Camila,Vestido Emilia,DRSS-EMI4,1,PAID,1700
ONLINE,ORD-00004,07/19/2025,Camila,Jacket Pearl,JCK-PRL4,2,PAID,340
ONLINE,ORD-00004,07/19/2025,Camila,Guantes Satin,GLV-SAT5,2,PAID,75
ONLINE,ORD-00005,04/26/2026,Zoe,Cinturon Pearl,BELT-PRL2,2,PAID,180
ONLINE,ORD-00005,04/26/2026,Zoe,Aretes Pearl,EAR-PRL4,1,PAID,95
ONLINE,ORD-00005,04/26/2026,Zoe,Anillo Halo,RNG-HAL8,2,PAID,50
ONLINE,ORD-00006,02/14/2024,Isabella,Vestido Aurora,DRSS-AUR8,1,PAID,1350
ONLINE,ORD-00006,02/14/2024,Isabella,Vestido Valentina,DRSS-VAL6,1,PAID,2150
ONLINE,ORD-00006,02/14/2024,Isabella,Vestido Emilia,DRSS-EMI1,1,PAID,1800
ONLINE,ORD-00007,02/02/2025,Lucia,Guantes Satin,GLV-SAT5,1,PAID,75
ONLINE,ORD-00007,02/02/2025,Lucia,Vestido Camila,DRSS-CAM2,1,PAID,1900
ONLINE,ORD-00007,02/02/2025,Lucia,Vestido Sofia,DRSS-SOF8,1,PAID,1550
ONLINE,ORD-00007,02/02/2025,Lucia,Vestido Isabella,DRSS-ISA2,1,PAID,1850
ONLINE,ORD-00008,10/07/2024,Valentina,Cinturon Crystal,BELT-CRY6,3,PAID,180
ONLINE,ORD-00009,04/12/2026,Natalia,Jacket Pearl,JCK-PRL8,3,REFUNDED,320
